"Component","Version","Latest version","Component type","License","License type","Vulnerability count","Object compilation date","Object","Object full path","Object SHA1","Distribution package","Missing exploit mitigations"
"jackson-datatype-jsr310","2.10.1","2.11.4","java","Apache","permissive","0","2019-11-09T23:29:08Z","jackson-datatype-jsr310-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-datatype-jsr310-2.10.1.jar","52ee272b0181a1c0df5c931235c494b1e0e022d0","",""
"jackson-module-parameter-names","2.10.1","2.11.4","java","Apache","permissive","0","2019-11-09T23:29:08Z","jackson-module-parameter-names-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-module-parameter-names-2.10.1.jar","6643b48d7dab2fb8c874526bea13ce4cd1a76cb9","",""
"jakarta.annotation-api","1.3.5","2.0.0","java","EPL","permissive","0","2019-08-02T11:04:14Z","jakarta.annotation-api-1.3.5.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jakarta.annotation-api-1.3.5.jar","59eb84ee0d616332ff44aba065f3888cf002cd2d","",""
"jakarta.el","3.0.3","4.0.2","java","EPL-2.0","copyleft","0","2019-08-26T10:58:08Z","jakarta.el-3.0.3.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jakarta.el-3.0.3.jar","dab46ee1ee23f7197c13d7c40fce14817c9017df","",""
"jakarta.persistence-api","2.2.3","3.0.0","java","EDL","permissive","0","2019-08-02T16:53:02Z","jakarta.persistence-api-2.2.3.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jakarta.persistence-api-2.2.3.jar","8f6ea5daedc614f07a3654a455660145286f024e","",""
"jakarta.servlet-api","4.0.3","5.0.0","java","EPL","permissive","0","2019-08-21T14:44:48Z","jakarta.servlet-api-4.0.3.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jakarta.servlet-api-4.0.3.jar","7c810f7bca93d109bac3323286b8e5ec6c394e12","",""
"jakarta.transaction-api","1.3.3","2.0.0","java","EPL","permissive","0","2019-08-02T22:12:06Z","jakarta.transaction-api-1.3.3.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jakarta.transaction-api-1.3.3.jar","c4179d48720a1e87202115fbed6089bdc4195405","",""
"jakarta.validation-api","2.0.1","3.0.1","java","Apache","permissive","0","2018-11-21T15:25:58Z","jakarta.validation-api-2.0.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jakarta.validation-api-2.0.1.jar","5a864a58587cd76243b8ec55dd7115c9eac25c08","",""
"jakarta.xml.bind-api","2.3.2","3.0.1","java","EPL-2.0","copyleft","0","2018-12-27T15:26:22Z","jakarta.xml.bind-api-2.3.2.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jakarta.xml.bind-api-2.3.2.jar","8d49996a4338670764d7ca4b85a1c4ccf7fe665d","",""
"jandex","2.1.1.Final","2.4.2.Final","java","Apache","permissive","0","2019-02-22T14:57:34Z","jandex-2.1.1.Final.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jandex-2.1.1.Final.jar","c89aa5564fea8b08b9b41f0bbcabb8fed0d89c0d","",""
